,mu,std
Jet_Pt[0],163.83581717810824,97.27671274862976
Jet_Pt[1],105.70416691772657,56.042068848954806
Jet_Pt[2],72.28653645895619,32.97797462355654
Jet_Pt[3],50.636885606609766,20.24988633661621
Jet_Phi[0],-0.0025154522369257703,1.8102105493074123
Jet_Phi[1],0.005282540734226255,1.8148240584664321
Jet_Phi[2],0.0039327792577047395,1.8173449183497818
Jet_Phi[3],0.00466792710823303,1.8144172816678832
Jet_M[0],20.701915456672964,13.084559391634563
Jet_M[1],14.637401549066379,7.1744685294069885
Jet_M[2],11.148744361878718,4.267713724993857
Jet_M[3],8.763255207357123,2.8945524910375973
Jet_Eta[0],-0.00657287628590212,1.0030960814259915
Jet_Eta[1],-0.007357874896913903,1.0358063250217922
Jet_Eta[2],-0.008032299733884947,1.0703575848669704
Jet_Eta[3],-0.006836484206478617,1.1081441420004972
Jet_CSV[0],0.6618408364397023,0.39646067226376
Jet_CSV[1],0.6379202060037594,0.40487537740113294
Jet_CSV[2],0.5786374339154563,0.4173316701054425
Jet_CSV[3],0.5158965043116287,0.41920492498492895
N_Jets,4.468151653361642,0.49898511090826647
Evt_CSV_avg,0.5858182,0.10159484
Evt_Pt_minDrTaggedJets,166.28485,93.77718
Evt_Pt_JetsAverage,92.161064,39.93077
Evt_Deta_TaggedJetsAverage,0.955798,0.5086525
Evt_Pt_TaggedJetsAverage,96.63148,47.228745
