,mu,std
Evt_CSV_avg_tagged,0.8313304,0.11025716
Evt_CSV_avg,0.63164103,0.15973206
Evt_M_minDrLepTag,89.34643,47.75511
Evt_Pt_JetsAverage,96.842606,42.38888
Evt_Pt_minDrTaggedJets,187.33856,108.179535
Evt_Deta_TaggedJetsAverage,0.97251487,0.42015305
Evt_Deta_JetsAverage,1.0438943,0.38266662
N_Jets,5.709816853847582,1.3707860023582414
Reco_JABDT_ttbar_Jet_CSV_whaddau2,0.3599827,0.3550591
Reco_ttbar_toplep_m,219.4836,96.217445
Reco_tHq_bestJABDToutput,0.07222743,0.43430537
Reco_JABDT_tHq_abs_ljet_eta,1.1965531,1.4314929
Reco_JABDT_tHq_Jet_CSV_hdau1,0.4969845,0.81880826
Reco_JABDT_tHW_Jet_CSV_btop,0.5945346,0.80416644
memDBp,0.4672827559477616,0.4421373113390708
