,mu,std
Jet_Pt_nom[0],213.70939284872597,124.35961346935562
Jet_Pt_nom[1],141.37776871863477,72.65418380760904
Jet_Pt_nom[2],102.78422883106441,46.37071387407983
Jet_Pt_nom[3],78.7290164832118,32.13916269990208
Jet_Phi_nom[0],-0.006852893986802147,1.8078525153769414
Jet_Phi_nom[1],-0.0014621814134520574,1.8218931335505215
Jet_Phi_nom[2],0.006393982466399813,1.8172983674979772
Jet_Phi_nom[3],0.011860622941231342,1.8176285237633827
Jet_M_nom[0],25.617548725505657,15.412977543667775
Jet_M_nom[1],18.523214120161782,9.353626926869165
Jet_M_nom[2],14.545299210930352,5.980890538611336
Jet_M_nom[3],12.044602671980273,4.331538345230513
Jet_Eta_nom[0],-0.0014364455903943278,1.0101616707318204
Jet_Eta_nom[1],-0.0028088050697804585,1.025505154939154
Jet_Eta_nom[2],-0.0002612848682097435,1.0518243632235686
Jet_Eta_nom[3],0.008804698678001934,1.0779124699919012
Jet_CSV_nom[0],0.4552973016853173,0.44052001649069905
Jet_CSV_nom[1],0.45835099219086,0.4412795821754495
Jet_CSV_nom[2],0.4198278331061174,0.4372681009701018
Jet_CSV_nom[3],0.3876488909410816,0.4307443347500902
N_Jets_nom,7.361812737405384,0.6608492576355993
Evt_CSV_avg_nom,0.37420842,0.057150573
Evt_Pt_minDrTaggedJets_nom,182.90303,106.49295
Evt_Pt_JetsAverage_nom,95.04299,36.07288
Evt_Deta_TaggedJetsAverage_nom,0.96826416,0.51627463
Evt_Pt_TaggedJetsAverage_nom,103.65583,51.220623
