,mu,std
Jet_Pt[0],237.08314755288262,127.5667364754296
Jet_Pt[1],159.64541100684363,73.62197975168259
Jet_Pt[2],118.14753524067929,46.02449510306613
Jet_Pt[3],92.26514146677266,31.12035697484445
Jet_Phi[0],0.004562327203402333,1.8083630812335483
Jet_Phi[1],-0.004938901831171066,1.8194839023040572
Jet_Phi[2],-0.001163111090412189,1.8207474514900812
Jet_Phi[3],0.012915878592850377,1.8204215546749762
Jet_M[0],27.808967606154084,16.47074358074066
Jet_M[1],20.22871056395888,9.78984968755097
Jet_M[2],16.03485345666851,6.183187744505286
Jet_M[3],13.423571304229169,4.4221450793454204
Jet_Eta[0],-0.0008597345743637357,0.9892565786114221
Jet_Eta[1],-0.0031366311434798105,0.9977073305091875
Jet_Eta[2],-0.00040691392717266575,1.0213992627979114
Jet_Eta[3],0.0012996852579105773,1.046170040594484
Jet_CSV[0],0.49290173718157854,0.4403439912075428
Jet_CSV[1],0.5047943968065071,0.44213379734303676
Jet_CSV[2],0.4735127670588353,0.44302938092029054
Jet_CSV[3],0.44920061747540724,0.44180441508425833
N_Jets,7.461772431909305,0.7442013170587264
Evt_CSV_avg,0.42142913,0.082803704
Evt_Pt_minDrTaggedJets,210.29324,113.364395
Evt_Pt_JetsAverage,106.227905,35.573902
Evt_Deta_TaggedJetsAverage,0.9288233,0.4630123
Evt_Pt_TaggedJetsAverage,114.81556,50.3692
