variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Evt_Deta_JetsAverage,0.038,0.027,0.022,0.020,0.025,0.052,0.015
Evt_Pt_minDrTaggedJets,0.050,0.030,0.026,0.037,0.024,0.020,0.072
memDBp,0.125,0.098,0.047,0.044,0.047,0.025,0.030
Reco_ttH_toplep_m,0.020,0.031,0.026,0.028,0.032,0.023,0.112
Reco_ttbar_bestJABDToutput,0.022,0.041,0.060,0.065,0.067,0.049,0.068
Evt_Pt_JetsAverage,0.024,0.032,0.031,0.034,0.046,0.108,0.141
Evt_M2_minDrTaggedJets,0.053,0.058,0.062,0.021,0.020,0.032,0.028
Evt_blr_transformed,0.079,0.086,0.064,0.103,0.128,0.023,0.048
Reco_ttH_bestJABDToutput,0.125,0.055,0.070,0.058,0.072,0.075,0.060
Reco_JABDT_tHq_abs_ljet_eta,0.030,0.016,0.036,0.017,0.017,0.057,0.019
Evt_M_TaggedJetsAverage,0.077,0.059,0.204,0.085,0.058,0.087,0.078
Evt_Deta_TaggedJetsAverage,0.050,0.051,0.051,0.018,0.020,0.050,0.046
Reco_tHq_bestJABDToutput,0.028,0.045,0.025,0.025,0.021,0.031,0.032
Reco_JABDT_tHW_Jet_CSV_btop,0.014,0.020,0.023,0.019,0.020,0.016,0.015
Evt_HT_tags,0.073,0.064,0.067,0.104,0.107,0.018,0.032
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.024,0.022,0.015,0.018,0.020,0.015,0.063
Evt_Pt_TaggedJetsAverage,0.086,0.099,0.050,0.065,0.089,0.157,0.075
CSV[2],0.021,0.041,0.036,0.079,0.061,0.027,0.022
Evt_CSV_avg_tagged,0.037,0.044,0.036,0.103,0.091,0.038,0.024
Evt_CSV_avg,0.026,0.082,0.048,0.056,0.035,0.096,0.021
