sample,variation,fiducial_xs_norm,inclusive_xs_norm,fraction_ttB,fraction_ttB_5FS,ratio_ttB_nominal_vs_varied,ratio_ttB_nominal_vs_varied_5FS,ratio_ttB_5FS_vs_this,ratio_ttB_5FS_vs_this_nom,ratio_5FS_vs_this__nominal_vs_varied,final_weight_sl_analysis
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_1p0_muF_1p0,0.999999912903,0.999999914726,0.025712,0.025712,1.0,1.0,1.0,1.0,1.0,0.999999914726
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_2p0_muF_1p0,1.07394145165,1.07195500936,0.024635,0.024635,1.04371828699,1.04371828699,1.0,1.0,1.0,1.07195500936
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_2p0_muF_2p0,1.0848832465,1.0819972905,0.024220,0.024220,1.06160198183,1.06160198183,1.0,1.0,1.0,1.0819972905
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_0p5_muF_1p0,0.840919749281,0.8371863727,0.024384,0.024384,1.05446194226,1.05446194226,1.0,1.0,1.0,0.8371863727
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_0p5_muF_0p5,0.84335629242,0.839837404662,0.025031,0.025031,1.02720626423,1.02720626423,1.0,1.0,1.0,0.839837404662
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_1p0_muF_2p0,0.970002259122,0.966898251136,0.024419,0.024419,1.05295057128,1.05295057128,1.0,1.0,1.0,0.966898251136
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_1p0_muF_0p5,0.919464139077,0.915927681873,0.024388,0.024388,1.05428899459,1.05428899459,1.0,1.0,1.0,0.915927681873
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_LHA_306000_nominal,0.999999912903,0.999999914726,0.025712,0.025712,1.0,1.0,1.0,1.0,1.0,0.999999914726
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_LHA_306000_up,0.873959881576,0.868277499311,0.023425,0.023425,1.09763073639,1.09763073639,1.0,1.0,1.0,0.868277499311
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_LHA_306000_down,1.01428582787,1.01403030695,0.025108,0.025108,1.02405607774,1.02405607774,1.0,1.0,1.0,1.01403030695
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306000,0.999999912903,0.999999914726,0.025712,0.025712,1.0,1.0,1.0,1.0,1.0,0.999999914726
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306001,0.999901067073,0.999890434534,0.025704,0.025704,1.00031123561,1.00031123561,1.0,1.0,1.0,0.999890434534
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306002,0.999517451741,0.999494493809,0.025728,0.025728,0.999378109453,0.999378109453,1.0,1.0,1.0,0.999494493809
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306003,0.999821569147,0.999809874472,0.025723,0.025723,0.999572367142,0.999572367142,1.0,1.0,1.0,0.999809874472
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306004,0.999702911752,0.999691402306,0.025801,0.025801,0.996550521298,0.996550521298,1.0,1.0,1.0,0.999691402306
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306005,1.00008031031,1.00007172083,0.025714,0.025714,0.999922221358,0.999922221358,1.0,1.0,1.0,1.00007172083
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306006,1.00064546014,1.00062195093,0.025706,0.025706,1.00023340854,1.00023340854,1.0,1.0,1.0,1.00062195093
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306007,0.999824094078,0.99978046689,0.025698,0.025698,1.00054478948,1.00054478948,1.0,1.0,1.0,0.99978046689
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306008,1.00050794898,1.00048962881,0.025697,0.025697,1.00058372573,1.00058372573,1.0,1.0,1.0,1.00048962881
