sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis,fiducial_xs_norm_TTH_PTH_0_60,fiducial_xs_norm_TTH_PTH_60_120,fiducial_xs_norm_TTH_PTH_120_200,fiducial_xs_norm_TTH_PTH_200_300,fiducial_xs_norm_TTH_PTH_300_450,fiducial_xs_norm_TTH_PTH_GT450
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306014,0.9940613886669999,0.9940613886669999,-1.0,-1.0,-1.0,-1.0,0.9940613886669999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306015,0.994674384033,0.994674384033,-1.0,-1.0,-1.0,-1.0,0.994674384033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306016,0.993890491902,0.993890491902,-1.0,-1.0,-1.0,-1.0,0.993890491902,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306017,0.994523121068,0.994523121068,-1.0,-1.0,-1.0,-1.0,0.994523121068,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306018,0.994951178452,0.994951178452,-1.0,-1.0,-1.0,-1.0,0.994951178452,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306019,0.9945424191299999,0.9945424191299999,-1.0,-1.0,-1.0,-1.0,0.9945424191299999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306020,0.994605366099,0.994605366099,-1.0,-1.0,-1.0,-1.0,0.994605366099,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306021,0.9946030389839999,0.9946030389839999,-1.0,-1.0,-1.0,-1.0,0.9946030389839999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306022,0.994482682558,0.994482682558,-1.0,-1.0,-1.0,-1.0,0.994482682558,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306023,0.994798360467,0.994798360467,-1.0,-1.0,-1.0,-1.0,0.994798360467,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
