sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306018,1.0002889009,1.0002932379,0.999836527852,1.00012444565,0.999992109466,1.0,1.0002932379
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306019,0.999706726671,0.999705101274,1.00008173607,1.00007919269,0.999989855028,1.0,0.999705101274
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306020,0.999321214617,0.999325679268,0.999836527852,1.00016969862,0.99998760059,1.0,0.999325679268
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306021,0.999705471492,0.999706056429,1.0,0.999751108698,1.00002479882,1.0,0.999706056429
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306022,0.999977194328,0.99998405864,0.999754791777,0.999637976287,1.00004396154,1.0,0.99998405864
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306023,0.998985145561,0.99897642272,1.00036781233,1.00085980632,0.999904186379,1.0,0.99897642272
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306024,1.00143101553,1.00143913835,0.999673055703,0.999536157118,1.00005410652,1.0,1.00143913835
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306025,0.999407421058,0.99941109094,0.999877395889,0.999898180831,1.00001352663,1.0,0.99941109094
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306026,0.998485732882,0.998474699559,1.00044954841,1.00070142094,0.999917713008,1.0,0.998474699559
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306027,1.00148096657,1.00148807612,0.99971392374,0.999321205539,1.00007439646,1.0,1.00148807612
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306028,1.00158505567,1.00159280095,0.99971392374,0.999524843877,1.00005523373,1.0,1.00159280095
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306029,0.995299512987,0.995272968885,1.00106256896,1.00186668477,0.999784701157,1.0,0.995272968885
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306030,0.999743465681,0.999735833133,1.0003269443,1.00022626482,0.999968437866,1.0,0.999735833133
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306031,0.999214339141,0.999214808878,1.0,1.00003393972,0.999997745562,1.0,0.999214808878
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_pdf_variation_306032,0.999369385728,0.999366642907,1.00012260411,1.00029414427,0.999967310647,1.0,0.999366642907
