name,weight,factor,fraction_5fs_vs_4fs,reweighting_factor,final_weight
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306031,0.998983543111,0.,1.,0.998983543111
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306032,0.99929659672,0.,1.,0.99929659672
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306033,0.998935318261,0.,1.,0.998935318261
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306034,0.998661122031,0.,1.,0.998661122031
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306035,1.00019039452,0.,1.,1.00019039452
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306036,0.999900985522,0.,1.,0.999900985522
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306037,0.998745495923,0.,1.,0.998745495923
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306038,0.999701117672,0.,1.,0.999701117672
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306039,1.00017082945,0.,1.,1.00017082945
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306040,1.00026885246,0.,1.,1.00026885246
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306041,1.00020217193,0.,1.,1.00020217193
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306042,0.99984014359,0.,1.,0.99984014359
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306043,1.00067568222,0.,1.,1.00067568222
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306044,0.998499326925,0.,1.,0.998499326925
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306045,0.999989556513,0.,1.,0.999989556513
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306046,0.998919970661,0.,1.,0.998919970661
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306047,0.999204735953,0.,1.,0.999204735953
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306048,0.999944177346,0.,1.,0.999944177346
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306049,0.999990031212,0.,1.,0.999990031212
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306050,0.999552644635,0.,1.,0.999552644635
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306051,0.999492698695,0.,1.,0.999492698695
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306052,0.999751693958,0.,1.,0.999751693958
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306053,0.999254598422,0.,1.,0.999254598422
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306054,0.998792281755,0.,1.,0.998792281755
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306055,0.999948164472,0.,1.,0.999948164472
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306056,0.999979303119,0.,1.,0.999979303119
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306057,0.99938496584,0.,1.,0.99938496584
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306058,0.999918926288,0.,1.,0.999918926288
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306059,1.00003759836,0.,1.,1.00003759836
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306060,1.00006655862,0.,1.,1.00006655862
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306061,0.999961170317,0.,1.,0.999961170317
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306062,1.00034114724,0.,1.,1.00034114724
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306063,0.999916078504,0.,1.,0.999916078504
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306064,0.999998101168,0.,1.,0.999998101168
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306065,0.999484731738,0.,1.,0.999484731738
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306066,0.9995959961,0.,1.,0.9995959961
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306067,0.999991075552,0.,1.,0.999991075552
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306068,0.999250048028,0.,1.,0.999250048028
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306069,0.99954391788,0.,1.,0.99954391788
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306070,1.00103898197,0.,1.,1.00103898197
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306071,1.00010416199,0.,1.,1.00010416199
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306072,1.00000826,0.,1.,1.00000826
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306073,1.00068433368,0.,1.,1.00068433368
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306074,1.00044024891,0.,1.,1.00044024891
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306075,1.00044880127,0.,1.,1.00044880127
