sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_1p0_muF_1p0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_2p0_muF_1p0,1.20136997517,1.20136997517,-1.0,-1.0,-1.0,-1.0,1.20136997517
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_2p0_muF_2p0,1.28736825842,1.28736825842,-1.0,-1.0,-1.0,-1.0,1.28736825842
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_0p5_muF_1p0,0.816991757378,0.816991757378,-1.0,-1.0,-1.0,-1.0,0.816991757378
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_0p5_muF_0p5,0.75935606464,0.75935606464,-1.0,-1.0,-1.0,-1.0,0.75935606464
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_1p0_muF_2p0,1.07157280321,1.07157280321,-1.0,-1.0,-1.0,-1.0,1.07157280321
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_1p0_muF_0p5,0.929433820782,0.929433820782,-1.0,-1.0,-1.0,-1.0,0.929433820782
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_LHA_306000_nominal,1.08278994074,1.08278994074,-1.0,-1.0,-1.0,-1.0,1.08278994074
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_LHA_306000_up,1.03709709182,1.03709709182,-1.0,-1.0,-1.0,-1.0,1.03709709182
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_LHA_306000_down,1.13269466681,1.13269466681,-1.0,-1.0,-1.0,-1.0,1.13269466681
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_LHA_320900_nominal,1.09932702916,1.09932702916,-1.0,-1.0,-1.0,-1.0,1.09932702916
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_LHA_320900_up,1.06338076179,1.06338076179,-1.0,-1.0,-1.0,-1.0,1.06338076179
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_LHA_320900_down,1.13778855985,1.13778855985,-1.0,-1.0,-1.0,-1.0,1.13778855985
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_pdf_variation_306000,1.08278994074,1.08278994074,-1.0,-1.0,-1.0,-1.0,1.08278994074
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_pdf_variation_306001,1.08358712676,1.08358712676,-1.0,-1.0,-1.0,-1.0,1.08358712676
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_pdf_variation_306002,1.08237693973,1.08237693973,-1.0,-1.0,-1.0,-1.0,1.08237693973
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_pdf_variation_306003,1.08331953348,1.08331953348,-1.0,-1.0,-1.0,-1.0,1.08331953348
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_pdf_variation_306004,1.08029154423,1.08029154423,-1.0,-1.0,-1.0,-1.0,1.08029154423
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_pdf_variation_306005,1.08260906384,1.08260906384,-1.0,-1.0,-1.0,-1.0,1.08260906384
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_pdf_variation_306006,1.08455231462,1.08455231462,-1.0,-1.0,-1.0,-1.0,1.08455231462
