sample,variation,fiducial_xs_norm,inclusive_xs_norm,fraction_ttB,fraction_ttB_5FS,ratio_ttB_nominal_vs_varied,ratio_ttB_nominal_vs_varied_5FS,ratio_ttB_5FS_vs_this,ratio_ttB_5FS_vs_this_nom,ratio_5FS_vs_this__nominal_vs_varied,final_weight_sl_analysis
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320917,0.991776831088,0.974089752612,0.510183,-1.0,0.998927835698,-1.0,-1.0,-1.0,-1.0,0.991776831088
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320918,1.01132511108,1.00282088463,0.510010,-1.0,0.999266681045,-1.0,-1.0,-1.0,-1.0,1.01132511108
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320919,1.03364871748,1.01768853862,0.509842,-1.0,0.999595953256,-1.0,-1.0,-1.0,-1.0,1.03364871748
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320920,1.02594723846,1.01330240259,0.509489,-1.0,1.00028852438,-1.0,-1.0,-1.0,-1.0,1.02594723846
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320921,1.0180586667,1.00376291008,0.509563,-1.0,1.00014326001,-1.0,-1.0,-1.0,-1.0,1.0180586667
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320922,1.03406533538,1.01487702624,0.509657,-1.0,0.999958795818,-1.0,-1.0,-1.0,-1.0,1.03406533538
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320923,1.03143099778,1.01417741069,0.509926,-1.0,0.99943129003,-1.0,-1.0,-1.0,-1.0,1.03143099778
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320924,1.00172785986,0.991978559612,0.510028,-1.0,0.999231414746,-1.0,-1.0,-1.0,-1.0,1.00172785986
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320925,1.01926499972,1.00416803418,0.509750,-1.0,0.999776360961,-1.0,-1.0,-1.0,-1.0,1.01926499972
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320926,1.01532055693,1.00059589836,0.508855,-1.0,1.00153481837,-1.0,-1.0,-1.0,-1.0,1.01532055693
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320927,1.00215791483,0.983283154802,0.509085,-1.0,1.00108233399,-1.0,-1.0,-1.0,-1.0,1.00215791483
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320928,1.00640053212,0.992956087301,0.509869,-1.0,0.999543019874,-1.0,-1.0,-1.0,-1.0,1.00640053212
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320929,0.994752311078,0.979067783796,0.510075,-1.0,0.999139342254,-1.0,-1.0,-1.0,-1.0,0.994752311078
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320930,0.991080443611,0.976337683736,0.509645,-1.0,0.999982340649,-1.0,-1.0,-1.0,-1.0,0.991080443611
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320931,0.992831275632,0.978051039733,0.509899,-1.0,0.999484211579,-1.0,-1.0,-1.0,-1.0,0.992831275632
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320932,0.999221482597,0.983895145231,0.510703,-1.0,0.997910723062,-1.0,-1.0,-1.0,-1.0,0.999221482597
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320933,1.01009941229,1.00117011885,0.510052,-1.0,0.999184396885,-1.0,-1.0,-1.0,-1.0,1.01009941229
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320934,0.98505569705,0.968872152177,0.510842,-1.0,0.997639191766,-1.0,-1.0,-1.0,-1.0,0.98505569705
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320935,1.00708985369,0.990476890323,0.509319,-1.0,1.00062239971,-1.0,-1.0,-1.0,-1.0,1.00708985369
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320936,1.00021844832,0.987241280883,0.509927,-1.0,0.999429330081,-1.0,-1.0,-1.0,-1.0,1.00021844832
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320937,1.02012344746,1.00727345782,0.509354,-1.0,1.00055364246,-1.0,-1.0,-1.0,-1.0,1.02012344746
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320938,0.995532107795,0.989116674573,0.509372,-1.0,1.00051828526,-1.0,-1.0,-1.0,-1.0,0.995532107795
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320939,0.996736616683,0.983012475899,0.509208,-1.0,1.00084052097,-1.0,-1.0,-1.0,-1.0,0.996736616683
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320940,0.997603243648,0.989583037146,0.509557,-1.0,1.00015503663,-1.0,-1.0,-1.0,-1.0,0.997603243648
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320941,0.99602747125,0.988597436917,0.509291,-1.0,1.00067741232,-1.0,-1.0,-1.0,-1.0,0.99602747125
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320942,0.982845588032,0.967129148491,0.510438,-1.0,0.998428800364,-1.0,-1.0,-1.0,-1.0,0.982845588032
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320943,0.989924857353,0.970581904088,0.510285,-1.0,0.998728161714,-1.0,-1.0,-1.0,-1.0,0.989924857353
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320944,0.986024791548,0.968910926514,0.510486,-1.0,0.998334920057,-1.0,-1.0,-1.0,-1.0,0.986024791548
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320945,1.00500140367,0.997422790632,0.509935,-1.0,0.999413650759,-1.0,-1.0,-1.0,-1.0,1.00500140367
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320946,0.996089426346,0.989258020038,0.509860,-1.0,0.999560663712,-1.0,-1.0,-1.0,-1.0,0.996089426346
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320947,0.998549338953,0.985474892344,0.510964,-1.0,0.997400991068,-1.0,-1.0,-1.0,-1.0,0.998549338953
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320948,0.995617199956,0.981693871149,0.510310,-1.0,0.998679234191,-1.0,-1.0,-1.0,-1.0,0.995617199956
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320949,1.0060212943,0.990287974051,0.509409,-1.0,1.00044561443,-1.0,-1.0,-1.0,-1.0,1.0060212943
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320950,0.991886854136,0.975913115067,0.509607,-1.0,1.0000569066,-1.0,-1.0,-1.0,-1.0,0.991886854136
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320951,0.996955142163,0.989318216695,0.510146,-1.0,0.999000286193,-1.0,-1.0,-1.0,-1.0,0.996955142163
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320952,1.01252935116,0.998961292097,0.509408,-1.0,1.00044757837,-1.0,-1.0,-1.0,-1.0,1.01252935116
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320953,0.998570632222,0.984692765005,0.509947,-1.0,0.9993901327,-1.0,-1.0,-1.0,-1.0,0.998570632222
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320954,1.00578939364,0.994628375867,0.509991,-1.0,0.999303909285,-1.0,-1.0,-1.0,-1.0,1.00578939364
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320955,1.01180396786,1.0016481449,0.510666,-1.0,0.997983026088,-1.0,-1.0,-1.0,-1.0,1.01180396786
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320956,0.99722256161,0.990496821008,0.509535,-1.0,1.00019821995,-1.0,-1.0,-1.0,-1.0,0.99722256161
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320957,1.01658482524,1.00551574402,0.509682,-1.0,0.999909747647,-1.0,-1.0,-1.0,-1.0,1.01658482524
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320958,0.992655361485,0.976093377953,0.509789,-1.0,0.999699875831,-1.0,-1.0,-1.0,-1.0,0.992655361485
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320959,1.01137706922,0.994473614302,0.508997,-1.0,1.00125541015,-1.0,-1.0,-1.0,-1.0,1.01137706922
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320960,1.00492428455,0.995841935192,0.510073,-1.0,0.999143259886,-1.0,-1.0,-1.0,-1.0,1.00492428455
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320961,1.00025848056,0.98984656977,0.509506,-1.0,1.00025514911,-1.0,-1.0,-1.0,-1.0,1.00025848056
TTbb_Powheg_Openloops_DL,Weight_pdf_variation_320962,0.998524928091,0.991704397477,0.509628,-1.0,1.00001569772,-1.0,-1.0,-1.0,-1.0,0.998524928091
