sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis,fiducial_xs_norm_TTH_PTH_0_60,fiducial_xs_norm_TTH_PTH_60_120,fiducial_xs_norm_TTH_PTH_120_200,fiducial_xs_norm_TTH_PTH_200_300,fiducial_xs_norm_TTH_PTH_GT300
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306014,0.994141717668,0.994141717668,-1.0,-1.0,-1.0,-1.0,0.994141717668,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306015,0.9947726711799999,0.9947726711799999,-1.0,-1.0,-1.0,-1.0,0.9947726711799999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306016,0.993973734513,0.993973734513,-1.0,-1.0,-1.0,-1.0,0.993973734513,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306017,0.994606444787,0.994606444787,-1.0,-1.0,-1.0,-1.0,0.994606444787,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306018,0.995038894921,0.995038894921,-1.0,-1.0,-1.0,-1.0,0.995038894921,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306019,0.9946305179620001,0.9946305179620001,-1.0,-1.0,-1.0,-1.0,0.9946305179620001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306020,0.994689955304,0.994689955304,-1.0,-1.0,-1.0,-1.0,0.994689955304,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306021,0.994693319433,0.994693319433,-1.0,-1.0,-1.0,-1.0,0.994693319433,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306022,0.9945681974889999,0.9945681974889999,-1.0,-1.0,-1.0,-1.0,0.9945681974889999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306023,0.9948932267030001,0.9948932267030001,-1.0,-1.0,-1.0,-1.0,0.9948932267030001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306024,0.995258336674,0.995258336674,-1.0,-1.0,-1.0,-1.0,0.995258336674,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306025,0.994618532217,0.994618532217,-1.0,-1.0,-1.0,-1.0,0.994618532217,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306026,0.994293493462,0.994293493462,-1.0,-1.0,-1.0,-1.0,0.994293493462,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306027,0.9946819391539999,0.9946819391539999,-1.0,-1.0,-1.0,-1.0,0.9946819391539999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306028,0.994900689561,0.994900689561,-1.0,-1.0,-1.0,-1.0,0.994900689561,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306029,0.994197752106,0.994197752106,-1.0,-1.0,-1.0,-1.0,0.994197752106,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306030,0.99489163236,0.99489163236,-1.0,-1.0,-1.0,-1.0,0.99489163236,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306031,0.9945644389530001,0.9945644389530001,-1.0,-1.0,-1.0,-1.0,0.9945644389530001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306032,0.99457194656,0.99457194656,-1.0,-1.0,-1.0,-1.0,0.99457194656,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306033,0.9946352852410001,0.9946352852410001,-1.0,-1.0,-1.0,-1.0,0.9946352852410001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306034,0.994433559368,0.994433559368,-1.0,-1.0,-1.0,-1.0,0.994433559368,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306035,0.994725583145,0.994725583145,-1.0,-1.0,-1.0,-1.0,0.994725583145,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306036,0.9948704327519999,0.9948704327519999,-1.0,-1.0,-1.0,-1.0,0.9948704327519999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306037,0.99460874168,0.99460874168,-1.0,-1.0,-1.0,-1.0,0.99460874168,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306038,0.994605430927,0.994605430927,-1.0,-1.0,-1.0,-1.0,0.994605430927,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306039,0.994698090845,0.994698090845,-1.0,-1.0,-1.0,-1.0,0.994698090845,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306040,0.9946026447990001,0.9946026447990001,-1.0,-1.0,-1.0,-1.0,0.9946026447990001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306041,0.9946307362639999,0.9946307362639999,-1.0,-1.0,-1.0,-1.0,0.9946307362639999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306042,0.994895474867,0.994895474867,-1.0,-1.0,-1.0,-1.0,0.994895474867,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306043,0.994675955808,0.994675955808,-1.0,-1.0,-1.0,-1.0,0.994675955808,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306044,0.994597946022,0.994597946022,-1.0,-1.0,-1.0,-1.0,0.994597946022,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306045,0.994781992315,0.994781992315,-1.0,-1.0,-1.0,-1.0,0.994781992315,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306046,0.99442875075,0.99442875075,-1.0,-1.0,-1.0,-1.0,0.99442875075,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306047,0.9944267691249999,0.9944267691249999,-1.0,-1.0,-1.0,-1.0,0.9944267691249999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306048,0.994907781109,0.994907781109,-1.0,-1.0,-1.0,-1.0,0.994907781109,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306049,0.994695045353,0.994695045353,-1.0,-1.0,-1.0,-1.0,0.994695045353,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306050,0.994576687015,0.994576687015,-1.0,-1.0,-1.0,-1.0,0.994576687015,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306051,0.994369386229,0.994369386229,-1.0,-1.0,-1.0,-1.0,0.994369386229,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306052,0.994712866968,0.994712866968,-1.0,-1.0,-1.0,-1.0,0.994712866968,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306053,0.9945081967389999,0.9945081967389999,-1.0,-1.0,-1.0,-1.0,0.9945081967389999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306054,0.9945658894220001,0.9945658894220001,-1.0,-1.0,-1.0,-1.0,0.9945658894220001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306055,0.994653682439,0.994653682439,-1.0,-1.0,-1.0,-1.0,0.994653682439,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306056,0.9947171950939999,0.9947171950939999,-1.0,-1.0,-1.0,-1.0,0.9947171950939999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306057,0.9947180498129999,0.9947180498129999,-1.0,-1.0,-1.0,-1.0,0.9947180498129999,-1.0,-1.0,-1.0,-1.0,-1.0
