sample,variation,fiducial_xs_norm,inclusive_xs_norm,fraction_ttB,fraction_ttB_5FS,fraction_ttC,fraction_ttC_5FS,fraction_ttC_nom,fraction_ttC_5FS_nom,fraction_ttLF,fraction_ttLF_5FS,fraction_ttLF_nom,fraction_ttLF_5FS_nom,ratio_ttB_nominal_vs_varied,ratio_ttB_nominal_vs_varied_5FS,ratio_ttB_5FS_vs_this,ratio_ttB_5FS_vs_this_nom,ratio_5FS_vs_this__nominal_vs_varied,final_weight_sl_analysis
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_1p0_muF_1p0,0.999987363717,0.999987363805,0.024469,0.024469,0.088392,0.088392,0.088392,0.088392,0.887139,0.887139,0.887139,0.887139,1.0,1.0,1.0,1.0,1.0,0.999987363805
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_2p0_muF_1p0,1.11005459393,1.11037384657,0.024189,0.024189,0.087845,0.087845,0.088392,0.088392,0.887966,0.887966,0.887139,0.887139,1.01157550953,1.01157550953,1.0,1.0,1.0,1.11037384657
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_2p0_muF_2p0,1.13757333261,1.13798217479,0.024119,0.024119,0.087602,0.087602,0.088392,0.088392,0.888280,0.888280,0.887139,0.887139,1.01451138107,1.01451138107,1.0,1.0,1.0,1.13798217479
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_0p5_muF_1p0,0.903818085404,0.903449212296,0.024867,0.024867,0.089170,0.089170,0.088392,0.088392,0.885963,0.885963,0.887139,0.887139,0.983994852616,0.983994852616,1.0,1.0,1.0,0.903449212296
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_0p5_muF_0p5,0.888268799109,0.887762404249,0.025025,0.025025,0.089584,0.089584,0.088392,0.088392,0.885390,0.885390,0.887139,0.887139,0.977782217782,0.977782217782,1.0,1.0,1.0,0.887762404249
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_1p0_muF_2p0,1.01917437239,1.01928472311,0.024364,0.024364,0.088095,0.088095,0.088392,0.088392,0.887541,0.887541,0.887139,0.887139,1.00430963717,1.00430963717,1.0,1.0,1.0,1.01928472311
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_scale_variation_muR_1p0_muF_0p5,0.976095952326,0.975992903388,0.024572,0.024572,0.088716,0.088716,0.088392,0.088392,0.886711,0.886711,0.887139,0.887139,0.995808237018,0.995808237018,1.0,1.0,1.0,0.975992903388
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_LHA_306000_nominal,0.999987363717,0.999987363805,0.024469,0.024469,0.088392,0.088392,0.088392,0.088392,0.887139,0.887139,0.887139,0.887139,1.0,1.0,1.0,1.0,1.0,0.999987363805
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_LHA_306000_up,0.963522800421,0.963494355802,0.024498,0.024498,0.088579,0.088579,0.088392,0.088392,0.886923,0.886923,0.887139,0.887139,0.998816229896,0.998816229896,1.0,1.0,1.0,0.963494355802
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,Weight_LHA_306000_down,1.03932049466,1.03935359266,0.024438,0.024438,0.088190,0.088190,0.088392,0.088392,0.887372,0.887372,0.887139,0.887139,1.00126851625,1.00126851625,1.0,1.0,1.0,1.03935359266
