sample,variation,fiducial_xs_norm,inclusive_xs_norm,fraction_ttB,fraction_ttB_5FS,fraction_ttC,fraction_ttC_5FS,fraction_ttC_nom,fraction_ttC_5FS_nom,fraction_ttLF,fraction_ttLF_5FS,fraction_ttLF_nom,fraction_ttLF_5FS_nom,ratio_ttB_nominal_vs_varied,ratio_ttB_nominal_vs_varied_5FS,ratio_ttB_5FS_vs_this,ratio_ttB_5FS_vs_this_nom,ratio_5FS_vs_this__nominal_vs_varied,final_weight_sl_analysis
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_1p0_muF_1p0,1.00000000336,1.00000000336,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.00000000336
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_2p0_muF_1p0,1.20137083896,1.20137083896,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.20137083896
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_2p0_muF_2p0,1.28731569986,1.28731569986,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.28731569986
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_0p5_muF_1p0,0.816991048837,0.816991048837,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.816991048837
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_0p5_muF_0p5,0.759390266594,0.759390266594,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.759390266594
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_1p0_muF_2p0,1.07152833284,1.07152833284,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.07152833284
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_scale_variation_muR_1p0_muF_0p5,0.929476553194,0.929476553194,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.929476553194
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_LHA_306000_nominal,1.0828526831,1.0828526831,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0828526831
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_LHA_306000_up,1.03731098905,1.03731098905,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.03731098905
TTH_4f_ctcvcp_TuneCP5_13TeV_madgraph_pythia8,Weight_LHA_306000_down,1.13257689401,1.13257689401,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,-1.000000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.13257689401
