variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Evt_Pt_TaggedJetsAverage,0.049,0.043,0.025,0.039,0.051,0.068,0.031
Reco_tHq_bestJABDToutput,0.061,0.065,0.024,0.021,0.017,0.080,0.069
N_Jets,0.060,0.071,0.047,0.056,0.086,0.056,0.033
Evt_Pt_JetsAverage,0.024,0.028,0.035,0.038,0.055,0.035,0.107
Reco_ttH_toplep_m,0.042,0.036,0.015,0.018,0.015,0.014,0.074
Reco_JABDT_tHq_abs_ljet_eta,0.032,0.030,0.026,0.014,0.013,0.070,0.018
Evt_CSV_avg_tagged,0.039,0.031,0.035,0.082,0.058,0.033,0.018
Reco_JABDT_tHW_Jet_CSV_btop,0.027,0.056,0.038,0.051,0.052,0.043,0.059
Evt_M2_minDrTaggedJets,0.041,0.066,0.038,0.022,0.015,0.022,0.030
Evt_Deta_JetsAverage,0.040,0.025,0.021,0.027,0.034,0.061,0.016
Reco_ttbar_bestJABDToutput,0.027,0.041,0.065,0.061,0.071,0.051,0.066
Evt_HT_tags,0.068,0.038,0.072,0.072,0.066,0.034,0.021
memDBp,0.114,0.101,0.045,0.043,0.044,0.032,0.025
Evt_M_TaggedJetsAverage,0.061,0.060,0.172,0.065,0.040,0.112,0.062
Evt_Pt_minDrTaggedJets,0.039,0.031,0.029,0.023,0.018,0.014,0.082
Evt_Deta_TaggedJetsAverage,0.033,0.047,0.036,0.020,0.026,0.060,0.040
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.029,0.046,0.047,0.059,0.071,0.051,0.131
Reco_ttH_bestJABDToutput,0.101,0.053,0.080,0.062,0.068,0.060,0.044
CSV[2],0.013,0.034,0.035,0.076,0.054,0.017,0.018
Evt_CSV_avg,0.053,0.039,0.068,0.088,0.066,0.076,0.033
Evt_blr_transformed,0.045,0.060,0.048,0.064,0.076,0.013,0.024
