variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Reco_tHq_bestJABDToutput,0.055,0.132,0.115,0.032,0.049,0.108,0.093
Evt_CSV_dev,0.066,0.117,0.137,0.121,0.095,0.083,0.057
Evt_HT_jets,0.177,0.162,0.151,0.154,0.206,0.132,0.328
Reco_JABDT_tHW_Jet_CSV_btop,0.110,0.132,0.105,0.210,0.185,0.100,0.209
Evt_M_JetsAverage,0.103,0.127,0.256,0.062,0.070,0.130,0.077
Evt_CSV_avg,0.139,0.126,0.123,0.252,0.209,0.225,0.169
Reco_ttH_bestJABDToutput,0.351,0.204,0.115,0.169,0.186,0.222,0.066
