variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Evt_Deta_JetsAverage,0.040,0.024,0.016,0.023,0.031,0.058,0.013
Evt_CSV_avg_tagged,0.027,0.037,0.024,0.076,0.048,0.027,0.019
Reco_JABDT_tHq_abs_ljet_eta,0.030,0.033,0.014,0.013,0.012,0.069,0.023
Evt_M_JetsAverage,0.030,0.030,0.045,0.034,0.023,0.078,0.020
Evt_HT_tags,0.038,0.024,0.054,0.052,0.046,0.027,0.030
Evt_M_minDrLepTag,0.017,0.014,0.011,0.016,0.015,0.007,0.032
Evt_Pt_TaggedJetsAverage,0.042,0.024,0.027,0.035,0.045,0.042,0.038
Evt_Dr_TaggedJetsAverage,0.017,0.023,0.019,0.015,0.016,0.010,0.042
Evt_CSV_avg,0.073,0.054,0.086,0.091,0.068,0.082,0.041
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.031,0.040,0.039,0.064,0.073,0.047,0.096
Reco_ttH_bestJABDToutput,0.118,0.047,0.087,0.069,0.080,0.056,0.054
Reco_ttbar_toplep_m,0.019,0.021,0.022,0.019,0.017,0.015,0.041
Reco_tHq_bestJABDToutput,0.070,0.105,0.047,0.034,0.027,0.074,0.027
Evt_Pt_JetsAverage,0.019,0.052,0.029,0.026,0.028,0.054,0.066
Reco_JABDT_tHW_Jet_CSV_btop,0.033,0.051,0.038,0.055,0.053,0.045,0.058
Reco_ttbar_bestJABDToutput,0.022,0.031,0.050,0.049,0.060,0.057,0.051
Evt_M_TaggedJetsAverage,0.045,0.040,0.130,0.041,0.031,0.048,0.083
Evt_M2_minDrTaggedJets,0.055,0.082,0.055,0.022,0.020,0.024,0.044
N_Jets,0.063,0.063,0.038,0.046,0.073,0.047,0.020
CSV[2],0.013,0.024,0.032,0.074,0.052,0.014,0.017
Evt_Deta_TaggedJetsAverage,0.050,0.053,0.031,0.014,0.018,0.053,0.054
Reco_ttH_toplep_m,0.054,0.020,0.024,0.023,0.025,0.018,0.025
Evt_HT_jets,0.018,0.031,0.025,0.019,0.035,0.022,0.028
Evt_Pt_minDrTaggedJets,0.039,0.021,0.023,0.023,0.020,0.016,0.054
Evt_blr_transformed,0.039,0.056,0.034,0.066,0.081,0.012,0.023
