variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Evt_Deta_JetsAverage,0.140,0.054,0.049,0.056,0.080,0.126,0.035
Evt_Pt_minDrTaggedJets,0.063,0.041,0.022,0.025,0.024,0.011,0.117
memDBp,0.164,0.117,0.079,0.054,0.059,0.035,0.053
Reco_ttH_toplep_m,0.052,0.042,0.035,0.027,0.021,0.032,0.094
Reco_ttbar_bestJABDToutput,0.045,0.046,0.101,0.063,0.096,0.059,0.070
Evt_Pt_JetsAverage,0.036,0.077,0.060,0.047,0.073,0.029,0.178
Evt_M2_minDrTaggedJets,0.062,0.067,0.034,0.027,0.025,0.024,0.025
Evt_blr_transformed,0.032,0.073,0.019,0.081,0.090,0.014,0.021
Reco_ttH_bestJABDToutput,0.018,0.034,0.028,0.015,0.020,0.030,0.052
Evt_M_TaggedJetsAverage,0.056,0.094,0.199,0.076,0.052,0.169,0.058
Evt_Deta_TaggedJetsAverage,0.039,0.084,0.081,0.031,0.057,0.113,0.058
Reco_tHq_bestJABDToutput,0.060,0.074,0.053,0.075,0.044,0.107,0.073
Reco_JABDT_tHW_Jet_CSV_btop,0.027,0.013,0.017,0.023,0.024,0.009,0.010
Evt_HT_tags,0.014,0.028,0.033,0.026,0.022,0.063,0.033
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.015,0.016,0.011,0.017,0.025,0.016,0.030
Evt_Pt_TaggedJetsAverage,0.018,0.039,0.026,0.046,0.036,0.049,0.024
CSV[2],0.020,0.032,0.044,0.088,0.070,0.019,0.025
Evt_CSV_avg,0.140,0.068,0.111,0.223,0.182,0.095,0.044
