,mu,std
Jet_Eta[3],-0.012927497505462557,0.9897458577044823
N_Jets,8.430499561787906,0.7182302482486559
Jet_Pt[1],158.830861086766,76.96316059293171
Jet_M[2],15.854950084903594,6.287383190042882
Jet_Eta[1],-0.008448601176506799,0.931177171063381
Jet_CSV[2],0.6074015465250776,0.42257180966184793
Jet_M[0],27.041986538672216,16.488700301221805
Jet_CSV[0],0.6253013014897874,0.41432466621450104
Jet_M[3],13.368762153538563,4.809142860652627
Jet_Phi[3],0.011107212717756694,1.8177272817834582
Jet_Phi[1],-0.01601605612285089,1.8205324697933538
Evt_Deta_TaggedJetsAverage,0.92428553,0.33630705
Jet_Pt[3],92.81022677475899,36.48788533423342
Jet_Pt[0],230.5597392638037,125.2849127508782
Jet_Eta[2],-0.010541794462640437,0.9674308414905516
Jet_Eta[0],-0.019514872918622105,0.931199057281145
Evt_CSV_avg,0.5489406,0.07855075
Jet_CSV[3],0.5855989017369557,0.4280023799112332
Jet_M[1],19.897923627848378,9.813080794863714
Jet_Pt[2],118.45063814636283,49.57442258246937
Jet_Phi[2],0.013214270740512377,1.8096008566178017
Jet_Phi[0],-0.035790772943722376,1.7981812490851368
Evt_Pt_minDrTaggedJets,213.34908,119.69419
Jet_CSV[1],0.6357056875170374,0.4143201824733872
Evt_Pt_TaggedJetsAverage,105.320724,41.738945
Evt_Pt_JetsAverage,99.47406,34.703205
