variable,ttHbb,ttHnonbb,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Evt_CSV_avg_tagged,0.246,0.108,0.130,0.172,0.298,0.278,0.037,0.063
Evt_CSV_avg,0.065,0.113,0.118,0.137,0.154,0.110,0.186,0.094
Evt_M_minDrLepTag,0.052,0.066,0.023,0.031,0.030,0.030,0.020,0.134
Evt_Pt_JetsAverage,0.040,0.076,0.033,0.043,0.035,0.050,0.031,0.088
Evt_Pt_minDrTaggedJets,0.017,0.040,0.049,0.024,0.023,0.027,0.017,0.072
Evt_Deta_TaggedJetsAverage,0.069,0.059,0.108,0.115,0.040,0.024,0.081,0.073
Evt_Deta_JetsAverage,0.076,0.130,0.060,0.051,0.036,0.032,0.116,0.044
N_Jets,0.140,0.159,0.141,0.087,0.069,0.138,0.170,0.080
Reco_JABDT_ttbar_Jet_CSV_whaddau2,0.028,0.016,0.031,0.027,0.031,0.037,0.023,0.022
Reco_ttbar_toplep_m,0.047,0.033,0.038,0.044,0.060,0.068,0.020,0.088
Reco_tHq_bestJABDToutput,0.044,0.025,0.086,0.060,0.040,0.025,0.044,0.027
Reco_JABDT_tHq_abs_ljet_eta,0.047,0.061,0.051,0.072,0.033,0.042,0.118,0.072
Reco_JABDT_tHq_Jet_CSV_hdau1,0.017,0.025,0.019,0.032,0.028,0.033,0.025,0.063
Reco_JABDT_tHW_Jet_CSV_btop,0.028,0.045,0.053,0.034,0.026,0.024,0.069,0.024
memDBp,0.084,0.044,0.060,0.071,0.098,0.084,0.041,0.055
