variable,ttHbb_STXS_0,ttHbb_STXS_1,ttHbb_STXS_2,ttHbb_STXS_3,ttHbb_STXS_4
memDBp,0.025,0.017,0.016,0.018,0.017
Reco_tHq_h_pt,0.038,0.102,0.073,0.080,0.043
Reco_tHq_h_dr,0.060,0.080,0.112,0.112,0.139
Reco_JABDT_tHq_log_h_pt,0.073,0.072,0.066,0.046,0.067
Reco_JABDT_tHq_log_min_hdau1_pt_hdau2_pt,0.036,0.028,0.063,0.071,0.078
Reco_tHW_h_pt,0.071,0.109,0.082,0.109,0.103
Reco_tHW_h_dr,0.049,0.067,0.080,0.087,0.100
Reco_JABDT_tHW_log_h_pt,0.107,0.113,0.089,0.104,0.098
Reco_ttH_h_dr,0.076,0.071,0.061,0.057,0.041
Reco_ttH_h_m,0.012,0.016,0.027,0.031,0.047
Reco_JABDT_ttH_log_h_pt,0.039,0.035,0.039,0.043,0.051
Reco_JABDT_ttH_log_toplep_m,0.032,0.032,0.033,0.042,0.038
Evt_Pt_TaggedJetsAverage,0.164,0.098,0.101,0.054,0.052
Evt_Dr_TaggedJetsAverage,0.034,0.023,0.023,0.016,0.013
Evt_M_TaggedJetsAverage,0.064,0.050,0.053,0.046,0.043
Evt_Pt_minDrTaggedJets,0.027,0.034,0.025,0.031,0.034
Evt_Pt_JetsAverage,0.093,0.053,0.059,0.052,0.036
