variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
CSV[2],0.011,0.017,0.043,0.080,0.052,0.011,0.018
Reco_tHq_bestJABDToutput,0.081,0.089,0.040,0.026,0.021,0.093,0.064
Reco_JABDT_tHW_Jet_CSV_btop,0.034,0.060,0.050,0.052,0.050,0.047,0.063
Evt_Pt_JetsAverage,0.022,0.035,0.026,0.037,0.056,0.036,0.104
Evt_Pt_TaggedJetsAverage,0.044,0.033,0.020,0.036,0.049,0.069,0.038
Reco_ttH_toplep_m,0.047,0.024,0.013,0.022,0.019,0.016,0.076
Evt_Deta_TaggedJetsAverage,0.050,0.073,0.043,0.018,0.024,0.063,0.034
N_Jets,0.070,0.089,0.054,0.065,0.098,0.057,0.036
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.031,0.043,0.049,0.064,0.077,0.054,0.128
Evt_Deta_JetsAverage,0.044,0.027,0.016,0.023,0.034,0.064,0.016
Reco_ttbar_bestJABDToutput,0.025,0.035,0.058,0.054,0.066,0.051,0.061
Evt_CSV_avg_tagged,0.025,0.037,0.027,0.072,0.044,0.030,0.016
Reco_JABDT_tHq_abs_ljet_eta,0.033,0.032,0.019,0.013,0.011,0.065,0.017
Evt_Pt_minDrTaggedJets,0.046,0.037,0.024,0.028,0.022,0.017,0.072
Evt_M_TaggedJetsAverage,0.070,0.066,0.176,0.063,0.050,0.110,0.069
Evt_M2_minDrTaggedJets,0.065,0.086,0.060,0.030,0.021,0.027,0.042
Reco_ttH_bestJABDToutput,0.132,0.058,0.090,0.082,0.086,0.068,0.058
Evt_HT_tags,0.044,0.047,0.065,0.060,0.059,0.035,0.025
Evt_CSV_avg,0.078,0.051,0.081,0.112,0.086,0.072,0.039
Evt_blr_transformed,0.046,0.062,0.047,0.064,0.077,0.014,0.024
