,mu,std
Jet_Pt_nom[0],167.2335585012533,98.9241877456147
Jet_Pt_nom[1],107.99603696961145,57.29247682679984
Jet_Pt_nom[2],73.91218270572602,33.881181505518256
Jet_Pt_nom[3],51.75704433286816,21.08340993266355
Jet_Phi_nom[0],-0.002413843645207573,1.8115938113454058
Jet_Phi_nom[1],0.003838816408132693,1.813557503952047
Jet_Phi_nom[2],0.003059083566984016,1.8164651234636215
Jet_Phi_nom[3],0.0035208792343929007,1.8142355422904068
Jet_M_nom[0],21.069609537436353,13.45939249870234
Jet_M_nom[1],14.85692955164835,7.322943891622651
Jet_M_nom[2],11.313703246063405,4.356761953345591
Jet_M_nom[3],8.886013452088255,2.968586637603929
Jet_Eta_nom[0],-0.00648425218548839,0.9941936211870457
Jet_Eta_nom[1],-0.006898863143667041,1.0282043428399565
Jet_Eta_nom[2],-0.007787342355274431,1.0627617674452368
Jet_Eta_nom[3],-0.006599991034324001,1.1004807575569167
Jet_CSV_nom[0],0.6858138696343599,0.38497839304595843
Jet_CSV_nom[1],0.6643799783316664,0.39401018984857306
Jet_CSV_nom[2],0.6107801870647143,0.40888432086390253
Jet_CSV_nom[3],0.5531546576863605,0.41441273766070935
N_Jets_nom,4.502691756144967,0.4999931247486039
Evt_CSV_avg_nom,0.6156337,0.12187181
Evt_Pt_minDrTaggedJets_nom,171.23053,96.737495
Evt_Pt_JetsAverage_nom,93.6822,40.591484
Evt_Deta_TaggedJetsAverage_nom,0.9472705,0.49024796
Evt_Pt_TaggedJetsAverage_nom,97.70399,47.0033
