variable,ttH,ttmb,tt2b,ttcc,ttlf,tHq,tHW
Reco_ttbar_whad_m,0.060,0.042,0.037,0.033,0.057,0.047,0.014
Reco_ttbar_toplep_m,0.013,0.018,0.017,0.023,0.016,0.010,0.034
Reco_ttbar_bestJABDToutput,0.033,0.045,0.043,0.056,0.079,0.062,0.050
Reco_ttH_bestJABDToutput,0.084,0.022,0.024,0.034,0.039,0.027,0.021
Reco_tHq_bestJABDToutput,0.022,0.045,0.025,0.017,0.018,0.045,0.020
Reco_tHW_whad_dr,0.021,0.024,0.021,0.020,0.020,0.042,0.021
Reco_tHW_bestJABDToutput,0.080,0.093,0.084,0.088,0.084,0.059,0.181
Reco_JABDT_ttbar_Jet_CSV_whaddau1,0.010,0.024,0.019,0.012,0.018,0.015,0.012
Reco_JABDT_ttbar_Jet_CSV_btoplep,0.012,0.029,0.029,0.039,0.025,0.014,0.006
Reco_JABDT_ttbar_Jet_CSV_btophad,0.008,0.024,0.023,0.025,0.015,0.015,0.007
Reco_JABDT_ttH_Jet_CSV_btoplep,0.055,0.022,0.019,0.025,0.019,0.035,0.020
Reco_JABDT_tHW_Jet_CSV_whaddau1,0.022,0.048,0.028,0.020,0.030,0.022,0.053
Reco_JABDT_tHW_Jet_CSV_btop,0.042,0.034,0.025,0.061,0.046,0.022,0.051
N_Jets,0.080,0.086,0.029,0.044,0.063,0.028,0.030
Evt_h1,0.047,0.019,0.023,0.029,0.023,0.029,0.042
Evt_blr_transformed,0.047,0.027,0.015,0.035,0.055,0.016,0.014
Evt_Pt_minDrTaggedJets,0.019,0.033,0.032,0.017,0.010,0.020,0.041
Evt_M_Total,0.046,0.056,0.041,0.050,0.074,0.044,0.129
Evt_M_TaggedJetsAverage,0.051,0.056,0.173,0.035,0.044,0.084,0.030
Evt_M_JetsAverage,0.018,0.022,0.022,0.035,0.025,0.034,0.026
Evt_JetPt_over_JetE,0.037,0.023,0.025,0.029,0.031,0.039,0.062
Evt_HT_tags,0.038,0.032,0.071,0.024,0.028,0.082,0.036
Evt_Deta_TaggedJetsAverage,0.034,0.041,0.036,0.011,0.014,0.035,0.009
Evt_Deta_JetsAverage,0.021,0.014,0.027,0.014,0.017,0.021,0.017
Evt_CSV_dev,0.015,0.025,0.033,0.040,0.024,0.032,0.014
Evt_CSV_avg_tagged,0.018,0.055,0.051,0.056,0.026,0.025,0.019
Evt_CSV_avg,0.066,0.040,0.031,0.127,0.099,0.098,0.040
