,mu,std
Evt_Deta_JetsAverage,1.009531,0.3479488
Evt_CSV_avg_tagged,0.83887,0.10521127
Reco_JABDT_tHq_abs_ljet_eta,1.3658764,0.9489729
Evt_M_JetsAverage,13.090519,4.242561
Evt_HT_tags,391.98962,174.97232
Evt_Pt_TaggedJetsAverage,95.78148,41.84852
memDBp,0.5335606,0.40572882
Evt_CSV_avg,0.5758902,0.116145365
Reco_JABDT_tHW_top_pt__P__h_pt__P__wb_pt__DIV__Evt_HT__P__Evt_Pt_MET__P__Lep_Pt,0.6542871,0.15805191
Reco_ttH_bestJABDToutput,-0.021826928,0.5729962
Reco_tHq_bestJABDToutput,0.22491173,0.17093515
Evt_Pt_JetsAverage,93.50051,37.328697
Evt_CSV_dev,0.1605582,0.0373789
Reco_JABDT_tHW_Jet_CSV_btop,0.8954441,0.16760057
Reco_ttbar_bestJABDToutput,0.3138547,0.13466522
Evt_M_TaggedJetsAverage,13.3913355,4.9181924
Evt_M2_minDrTaggedJets,86.39141,40.623875
N_Jets,6.246176737027693,1.1787809159220906
CSV[2],0.8321854659061938,0.17422064439143045
Evt_Deta_TaggedJetsAverage,0.92511964,0.390768
Reco_ttH_toplep_m,165.45645,131.24309
Evt_HT_jets,586.21454,267.47656
Evt_Pt_minDrTaggedJets,181.85703,100.52516
Evt_blr_transformed,8.903671,3.134618
